haskell-tls 2.0.6-10
haskell-toml-parser 2.0.1.2-15
haskell-transformers-base 0.4.6-172
haskell-transformers-compat 0.7.2-3
haskell-type-equality 1.0.1-2
haskell-typed-process 0.2.13.0-44
haskell-typst 0.5.0.3-3
haskell-typst-symbols 0.1.6-1
haskell-unicode-collation 0.1.3.6-70
haskell-unicode-data 0.5.0-31
haskell-unicode-transforms 0.4.0.1-128
haskell-uniplate 1.6.13-287
haskell-unix-compat 0.7.4-19
haskell-unix-time 0.4.17-21
haskell-unliftio 0.2.25.1-41
haskell-unliftio-core 0.2.1.0-3
haskell-unordered-containers 0.2.20-109
haskell-utf8-string 1.0.2-207
haskell-uuid-types 1.0.6-74
haskell-vault 0.3.1.5-249
haskell-vector 0.13.2.0-105
haskell-vector-algorithms 0.9.1.0-65
haskell-vector-stream 0.1.0.1-3
haskell-wai 3.2.4-99
haskell-wai-app-static 3.1.9-156
haskell-wai-cors 0.2.7-435
haskell-wai-extra 3.1.17-65
haskell-wai-logger 2.5.0-85
haskell-warp 3.3.30-187
haskell-witherable 0.4.2-182
haskell-word8 0.1.3-24
haskell-xml 1.3.14-32
haskell-xml-conduit 1.9.1.4-89
haskell-xml-types 0.3.8-10
haskell-yaml 0.11.11.2-147
haskell-zip-archive 0.4.3.2-56
haskell-zlib 0.7.0.0-19
haveged 1.9.19-1
hdparm 9.65-3
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1
highway 1.3.0-1
hplip 1:3.25.6-1
hslua-cli 1.4.3-32
htop 3.4.1-1
hunspell 1.7.2-2
hwdata 0.398-1
hwdetect 2025.08.16.1333-1
hwinfo 25.0-2
hyphen 2.8.8-6
i3-wm 4.24-1
i3blocks 1.5-4
i3lock-color 2.13.c.5-3
i3status 2.15-1
iana-etc 20250612-1
icu 76.1-1
ijs 0.35-6
imagemagick 7.1.2.2-1
imath 3.1.12-4
imlib2 1.12.5-1
inetutils 2.6-1
iniparser 4.2.6-2
intellij-idea-community-edition 4:2025.2-1
intellij-idea-ultimate-edition 2025.2-1
inxi 3.3.38.1-1
iproute2 6.16.0-2
iptables-nft 1:1.8.11-2
iputils 20250605-1
iso-codes 4.18.0-1
iw 6.9-1
iwd 3.9-1
jansson 2.14.1-1
jasper 4.2.5-1
java-environment-common 3-6
java-runtime-common 3-6
jbig2dec 0.20-1
jbigkit 2.1-8
jdk-openjdk 24.0.2.u12-1
jdk21-openjdk 21.0.8.u9-1
jemalloc 1:5.3.0-5
jfsutils 1.1.15-9
jq 1.8.1-1
js115 115.27.0-1
json-c 0.18-2
json-glib 1.10.6-1
jsoncpp 1.9.6-3
kaccounts-integration 25.08.0-1
karchive 6.17.0-1
kauth 6.17.0-1
kbd 2.8.0-1
kbookmarks 6.17.0-1
kcmutils 6.17.0-1
kcodecs 6.17.0-1
kcolorscheme 6.17.0-1
kcompletion 6.17.0-1
kconfig 6.17.0-1
kconfigwidgets 6.17.0-1
kcoreaddons 6.17.0-1
kcrash 6.17.0-1
kdbusaddons 6.17.0-1
kdenlive 25.08.0-1
keyutils 1.6.3-3
kfilemetadata 6.17.0-2
kglobalaccel 6.17.0-1
kguiaddons 6.17.0-1
ki18n 6.17.0-1
kiconthemes 6.17.0-1
kio 6.17.0-1
kirigami 6.17.0-1
kitemviews 6.17.0-1
kitty 0.42.2-1
kitty-shell-integration 0.42.2-1
kitty-terminfo 0.42.2-1
kjobwidgets 6.17.0-1
kmod 34.2-1
knewstuff 6.17.0-1
knotifications 6.17.0-1
knotifyconfig 6.17.0-1
kpackage 6.17.0-1
krb5 1.21.3-2
kservice 6.17.0-1
ktextwidgets 6.17.0-1
kwallet 6.17.0-1
kwidgetsaddons 6.17.0-1
kwindowsystem 6.17.0-1
kxmlgui 6.17.0-1
l-smash 2.14.5-4
lame 3.100-5
lcms2 2.17-1
